# monthly mean of baseline data from 1993/08 to 2023/12; created: 29-Jan-2025
# comment: AGAGE GCMD measurements. Output from GCWerks. See Prinn et al., ESSD (2018), https://doi.org/10.5194/essd-10-985-2018
# data_owner_email: paul.krummel@csiro.au
# data_owner: Paul Krummel
# station_long_name: Kennaook/Cape Grim, Tasmania, Australia
# inlet_base_elevation_masl: 94.000000
# inlet_latitude: -40.683333
# inlet_longitude: 144.689444
# inlet_comment: multiple inlets have been used at the station, all in close proximity to each other.
# data_dir: /agage/capegrim
# species: cfc-11
# calibration_scale: SIO-05
# units: ppt
# file_created: 2024-11-11 07:14:17
# 
# CREDIT FOR USE: This is a formal notification for data users. 
# For scientific purposes access to these data is unlimited and 
# provided without charge. By their use you accept that an offer 
# of co-authorship will be made through personal contact with the
# data providers or owners whenever substantial use is made of 
# their data. In all cases an acknowledgement must be made to the
# data providers or owners and the data centre when these data are
# used within a publication.
# 
# CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 
# 
# 1st column, time in farction of year
# 2nd column, year (YYYY)
# 3rd column, month (1 to 12)
# 4th column, mean (monthly mean value)
# 5th column, std. dev. (standard deviation of monthly mean)
# 6th column, numb (number of measurements for monthly mean)
#    time   year  month          mean     std. dev.    numb
 1993.625   1993      8       261.403         0.397     537
 1993.708   1993      9       261.443         0.315     614
 1993.792   1993     10       261.518         0.293     867
 1993.875   1993     11       261.570         0.274     779
 1993.958   1993     12       261.569         0.281     895
 1994.042   1994      1       261.541         0.305     912
 1994.125   1994      2       261.556         0.295     851
 1994.208   1994      3       261.625         0.339     822
 1994.292   1994      4       261.784         0.459     708
 1994.375   1994      5       261.831         0.523     766
 1994.458   1994      6       261.862         0.401     745
 1994.542   1994      7       262.162         0.325     761
 1994.625   1994      8       262.344         0.336     899
 1994.708   1994      9       262.447         0.316     881
 1994.792   1994     10       262.522         0.304     854
 1994.875   1994     11       262.510         0.317     840
 1994.958   1994     12       262.427         0.320     903
 1995.042   1995      1       262.300         0.325     922
 1995.125   1995      2       262.080         0.365     783
 1995.208   1995      3       262.324         0.500     302
 1995.292   1995      4       261.817         0.541     371
 1995.375   1995      5       262.071         0.574     900
 1995.458   1995      6       262.211         0.431     824
 1995.542   1995      7       262.300         0.341     916
 1995.625   1995      8       262.411         0.350     860
 1995.708   1995      9       262.393         0.272     758
 1995.792   1995     10       262.017         0.299     908
 1995.875   1995     11       262.053         0.196     867
 1995.958   1995     12       261.995         0.214     868
 1996.042   1996      1       261.797         0.249     933
