# monthly mean of baseline data from 1995/10 to 2023/12; created: 29-Jan-2025
# comment: MD measurements. Output from GCWerks. See Prinn et al. (2000).
# data_owner_email: rfweiss@ucsd.edu, jmuhle@ucsd.edu
# data_owner: Ray F. Weiss, Jens Muhle
# station_long_name: Trinidad Head, California
# inlet_base_elevation_masl: 107.000000
# inlet_latitude: 41.0541
# inlet_longitude: -124.151
# data_dir: /agage/trinidadhead
# species: cfc-11
# calibration_scale: SIO-05
# units: ppt
# file_created: 2024-11-11 07:04:01
# filled (flagged) data value: -99.900
# 
# CREDIT FOR USE: This is a formal notification for data users. 
# For scientific purposes access to these data is unlimited and 
# provided without charge. By their use you accept that an offer 
# of co-authorship will be made through personal contact with the
# data providers or owners whenever substantial use is made of 
# their data. In all cases an acknowledgement must be made to the
# data providers or owners and the data centre when these data are
# used within a publication.
# 
# CONTACT POINT: rfweiss@ucsd.edu; charth@ucsd.edu; raywang@eas.gatech.edu 
# 
# 1st column, time in farction of year
# 2nd column, year (YYYY)
# 3rd column, month (1 to 12)
# 4th column, mean (monthly mean value)
# 5th column, std. dev. (standard deviation of monthly mean)
# 6th column, numb (number of measurements for monthly mean)
#    time   year  month          mean     std. dev.    numb
 1995.792   1995     10       267.289         0.404     821
 1995.875   1995     11       267.257         0.422     790
 1995.958   1995     12       266.922         0.367     838
 1996.042   1996      1       266.812         0.361     896
 1996.125   1996      2       266.770         0.352     755
 1996.208   1996      3       266.527         0.364     848
 1996.292   1996      4       266.427         0.361     878
 1996.375   1996      5       266.617         0.439     846
 1996.458   1996      6       266.583         0.416     862
 1996.542   1996      7       266.268         0.470     887
 1996.625   1996      8       265.890         0.512     876
 1996.708   1996      9       265.918         0.485     831
 1996.792   1996     10       266.130         0.418     870
 1996.875   1996     11       266.183         0.441     859
 1996.958   1996     12       265.909         0.417     915
 1997.042   1997      1       265.704         0.381     924
 1997.125   1997      2       265.461         0.374     846
 1997.208   1997      3       265.497         0.405     749
 1997.292   1997      4       265.295         0.395     921
 1997.375   1997      5       265.207         0.543     890
 1997.458   1997      6       264.895         0.504     613
 1997.542   1997      7       264.747         0.597     929
 1997.625   1997      8       264.443         0.539     932
 1997.708   1997      9       264.494         0.581     840
 1997.792   1997     10       264.735         0.503     828
 1997.875   1997     11       264.852         0.491     786
 1997.958   1997     12       264.919         0.377     797
 1998.042   1998      1       264.700         0.456     896
 1998.125   1998      2       264.524         0.404     752
 1998.208   1998      3       264.273         0.400     918
 1998.292   1998      4       264.251         0.345     788
 1998.375   1998      5       263.829         0.427     885
 1998.458   1998      6       263.409         0.462     872
 1998.542   1998      7       262.810         0.462     930
 1998.625   1998      8       262.320         0.503     910
 1998.708   1998      9       262.375         0.332     842
 1998.792   1998     10       262.475         0.320     815
 1998.875   1998     11       262.746         0.271     773
 1998.958   1998     12       262.688         0.245     925
 1999.042   1999      1       262.595         0.276     826
 1999.125   1999      2       262.422         0.261     867
 1999.208   1999      3       262.218         0.301     853
 1999.292   1999      4       262.109         0.322     858
 1999.375   1999      5       261.646         0.259     945
 1999.458   1999      6       261.271         0.250     850
 1999.542   1999      7       260.572         0.305     949
 1999.625   1999      8       260.447         0.336     926
 1999.708   1999      9       260.854         0.428     787
 1999.792   1999     10       261.339         0.327     724
 1999.875   1999     11       261.466         0.276     814
 1999.958   1999     12       261.407         0.242     893
 2000.042   2000      1       261.211         0.277     914
 2000.125   2000      2       261.119         0.300     754
 2000.208   2000      3       261.227         0.230     869
 2000.292   2000      4       261.051         0.244     875
 2000.375   2000      5       260.874         0.242     924
 2000.458   2000      6       260.795         0.298     800
 2000.542   2000      7       260.375         0.232     910
 2000.625   2000      8       260.032         0.237     941
 2000.708   2000      9       260.203         0.320     728
 2000.792   2000     10       260.398         0.279     736
 2000.875   2000     11       260.556         0.212     647
 2000.958   2000     12       260.541         0.241     800
 2001.042   2001      1       260.399         0.271     801
 2001.125   2001      2       260.135         0.297     812
 2001.208   2001      3       259.832         0.308     937
 2001.292   2001      4       259.644         0.224     916
 2001.375   2001      5       259.283         0.264     929
 2001.458   2001      6       258.797         0.295     909
 2001.542   2001      7       258.327         0.286     882
 2001.625   2001      8       257.881         0.290     862
 2001.708   2001      9       257.894         0.419     717
 2001.792   2001     10       258.532         0.590     800
 2001.875   2001     11       258.399         0.590     894
 2001.958   2001     12       258.233         0.470     859
 2002.042   2002      1       258.015         0.486     944
 2002.125   2002      2       257.825         0.414     769
 2002.208   2002      3       257.673         0.380     868
 2002.292   2002      4       257.468         0.347     869
 2002.375   2002      5       257.026         0.411     865
 2002.458   2002      6       256.744         0.422     907
 2002.542   2002      7       256.245         0.567     900
 2002.625   2002      8       255.832         0.534     901
 2002.708   2002      9       256.062         0.626     836
 2002.792   2002     10       256.431         0.593     868
 2002.875   2002     11       256.242         0.508     844
 2002.958   2002     12       256.167         0.502     849
 2003.042   2003      1       255.862         0.582     937
 2003.125   2003      2       255.790         0.439     798
 2003.208   2003      3       255.601         0.419     900
 2003.292   2003      4       255.501         0.450     887
 2003.375   2003      5       255.337         0.458     938
 2003.458   2003      6       254.922         0.500     884
 2003.542   2003      7       254.495         0.531     954
 2003.625   2003      8       253.906         0.558     866
 2003.708   2003      9       254.055         0.511     834
 2003.792   2003     10       254.091         0.316     789
 2003.875   2003     11       254.160         0.305     832
 2003.958   2003     12       254.520         0.318     883
 2004.042   2004      1       254.236         0.333     879
 2004.125   2004      2       253.967         0.260     794
 2004.208   2004      3       253.763         0.270     848
 2004.292   2004      4       253.520         0.264     802
 2004.375   2004      5       253.083         0.246     798
 2004.458   2004      6       252.764         0.339     884
 2004.542   2004      7       252.161         0.249     930
 2004.625   2004      8       251.944         0.355     806
 2004.708   2004      9       251.588         0.371     802
 2004.792   2004     10       251.836         0.321     754
 2004.875   2004     11       252.072         0.298     752
 2004.958   2004     12       252.157         0.333     894
 2005.042   2005      1       251.983         0.334     672
 2005.125   2005      2       251.832         0.317     730
 2005.208   2005      3       251.871         0.386     643
 2005.292   2005      4       252.308         0.284     807
 2005.375   2005      5       252.157         0.301     918
 2005.458   2005      6       251.648         0.268     798
 2005.542   2005      7       250.622         0.323     877
 2005.625   2005      8       250.188         0.320     814
 2005.708   2005      9       250.110         0.347     739
 2005.792   2005     10       250.079         0.280     796
 2005.875   2005     11       250.131         0.289     509
 2005.958   2005     12       250.124         0.331     659
 2006.042   2006      1       249.848         0.320     760
 2006.125   2006      2       249.669         0.323     715
 2006.208   2006      3       249.284         0.289     849
 2006.292   2006      4       248.893         0.247     872
 2006.375   2006      5       248.622         0.359     676
 2006.458   2006      6       248.021         0.301     815
 2006.542   2006      7       248.142         0.268     840
 2006.625   2006      8       247.656         0.272     928
 2006.708   2006      9       247.563         0.364     825
 2006.792   2006     10       248.142         0.318     646
 2006.875   2006     11       247.928         0.308     897
 2006.958   2006     12       247.929         0.315     911
 2007.042   2007      1       247.658         0.287     833
 2007.125   2007      2       247.492         0.363     711
 2007.208   2007      3       247.392         0.300     736
 2007.292   2007      4       247.273         0.232     732
 2007.375   2007      5       246.828         0.368     842
 2007.458   2007      6       246.285         0.218     907
 2007.542   2007      7       245.810         0.297     880
 2007.625   2007      8       245.310         0.199     364
 2007.708   2007      9       245.264         0.319     646
 2007.792   2007     10       245.424         0.389     757
 2007.875   2007     11       245.619         0.265     679
 2007.958   2007     12       245.500         0.230     896
 2008.042   2008      1       245.422         0.263     776
 2008.125   2008      2       245.131         0.262     808
 2008.208   2008      3       244.836         0.215     851
 2008.292   2008      4       244.624         0.238     776
 2008.375   2008      5       244.331         0.248     909
 2008.458   2008      6       244.122         0.224     852
 2008.542   2008      7       243.846         0.317     825
 2008.625   2008      8       243.464         0.248     931
 2008.708   2008      9       243.731         0.347     788
 2008.792   2008     10       243.876         0.409     687
 2008.875   2008     11       244.029         0.319     709
 2008.958   2008     12       243.884         0.261     881
 2009.042   2009      1       243.497         0.295     676
 2009.125   2009      2       243.198         0.325     579
 2009.208   2009      3       242.830         0.227     657
 2009.292   2009      4       242.519         0.262     813
 2009.375   2009      5       242.211         0.251     813
 2009.458   2009      6       241.971         0.217     892
 2009.542   2009      7       241.741         0.211    1028
 2009.625   2009      8       241.384         0.258     918
 2009.708   2009      9       241.761         0.290     822
 2009.792   2009     10       241.989         0.289     516
 2009.875   2009     11       242.039         0.255     696
 2009.958   2009     12       242.030         0.272     917
 2010.042   2010      1       241.796         0.286     935
 2010.125   2010      2       241.538         0.232     678
 2010.208   2010      3       241.310         0.220    1012
 2010.292   2010      4       241.155         0.241     932
 2010.375   2010      5       240.817         0.221     997
 2010.458   2010      6       240.485         0.321     991
 2010.542   2010      7       240.037         0.260    1009
 2010.625   2010      8       239.552         0.364     681
 2010.708   2010      9       239.436         0.293     884
 2010.792   2010     10       239.830         0.375     643
 2010.875   2010     11       239.856         0.282     953
 2010.958   2010     12       239.795         0.299     879
 2011.042   2011      1       239.440         0.322     963
 2011.125   2011      2       239.153         0.265     913
 2011.208   2011      3       238.986         0.293     435
 2011.292   2011      4       238.778         0.321     883
 2011.375   2011      5       238.749         0.390     878
 2011.458   2011      6       238.310         0.289     825
 2011.542   2011      7       237.850         0.335     869
 2011.625   2011      8       237.320         0.284    1020
 2011.708   2011      9       237.520         0.390     651
 2011.792   2011     10       237.814         0.407     804
 2011.875   2011     11       237.808         0.320     468
 2011.958   2011     12       237.758         0.367    1016
 2012.042   2012      1       237.412         0.350     917
 2012.125   2012      2       237.163         0.289     814
 2012.208   2012      3       236.824         0.291    1021
 2012.292   2012      4       236.674         0.293     970
 2012.375   2012      5       236.312         0.244     578
 2012.458   2012      6       236.166         0.267     751
 2012.542   2012      7       235.620         0.277    1021
 2012.625   2012      8       235.361         0.313    1050
 2012.708   2012      9       235.578         0.423     939
 2012.792   2012     10       235.963         0.345     946
 2012.875   2012     11       236.003         0.363     955
 2012.958   2012     12       236.022         0.244     989
 2013.042   2013      1       235.870         0.256    1024
 2013.125   2013      2       235.618         0.269     772
 2013.208   2013      3       235.323         0.216     978
 2013.292   2013      4       235.017         0.253    1006
 2013.375   2013      5       234.989         0.253    1016
 2013.458   2013      6       234.974         0.288    1011
 2013.542   2013      7       234.460         0.314    1028
 2013.625   2013      8       233.961         0.268    1043
 2013.708   2013      9       234.176         0.337     886
 2013.792   2013     10       234.759         0.444     596
 2013.875   2013     11       234.879         0.361     931
 2013.958   2013     12       234.575         0.298     987
 2014.042   2014      1       234.411         0.354     693
 2014.125   2014      2       233.958         0.321     916
 2014.208   2014      3       233.867         0.333     997
 2014.292   2014      4       233.949         0.266    1012
 2014.375   2014      5       233.933         0.242    1038
 2014.458   2014      6       234.047         0.287     979
 2014.542   2014      7       233.795         0.268     998
 2014.625   2014      8       233.686         0.249     973
 2014.708   2014      9       233.834         0.341     989
 2014.792   2014     10       234.150         0.369     940
 2014.875   2014     11       234.011         0.350     978
 2014.958   2014     12       233.615         0.257     769
 2015.042   2015      1       233.289         0.317     937
 2015.125   2015      2       232.859         0.232     909
 2015.208   2015      3       232.646         0.271     974
 2015.292   2015      4       232.626         0.222     952
 2015.375   2015      5       232.597         0.214    1026
 2015.458   2015      6       232.297         0.235     979
 2015.542   2015      7       231.866         0.235     993
 2015.625   2015      8       231.743         0.229     939
 2015.708   2015      9       231.982         0.360     912
 2015.792   2015     10       232.663         0.352     821
 2015.875   2015     11       232.621         0.237     899
 2015.958   2015     12       232.370         0.233     950
 2016.042   2016      1       232.012         0.240     997
 2016.125   2016      2       231.693         0.267     895
 2016.208   2016      3       231.471         0.231     987
 2016.292   2016      4       231.537         0.263     925
 2016.375   2016      5       231.547         0.256     991
 2016.458   2016      6       231.354         0.192     980
 2016.542   2016      7       231.097         0.315     883
 2016.625   2016      8       230.667         0.183     906
 2016.708   2016      9       230.418         0.266     894
 2016.792   2016     10       231.043         0.344    1027
 2016.875   2016     11       231.332         0.265     973
 2016.958   2016     12       231.174         0.196     692
 2017.042   2017      1       230.734         0.239     990
 2017.125   2017      2       230.351         0.260     757
 2017.208   2017      3       230.241         0.237    1010
 2017.292   2017      4       230.156         0.258     892
 2017.375   2017      5       230.306         0.216     973
 2017.458   2017      6       230.104         0.193     995
 2017.542   2017      7       230.289         0.247     881
 2017.625   2017      8       230.245         0.213     104
 2017.708   2017      9       230.024         0.375     741
 2017.792   2017     10       230.383         0.331     945
 2017.875   2017     11       230.389         0.367     927
 2017.958   2017     12       230.188         0.269    1038
 2018.042   2018      1       229.792         0.274     955
 2018.125   2018      2       229.598         0.193     901
 2018.208   2018      3       229.324         0.194    1020
 2018.292   2018      4       229.431         0.236     979
 2018.375   2018      5       229.272         0.228    1000
 2018.458   2018      6       228.870         0.234    1016
 2018.542   2018      7       228.603         0.258     974
 2018.625   2018      8       228.337         0.258    1047
 2018.708   2018      9       228.317         0.391     913
 2018.792   2018     10       229.001         0.316     768
 2018.875   2018     11       229.299         0.329     838
 2018.958   2018     12       228.946         0.206    1032
 2019.042   2019      1       228.726         0.298     921
 2019.125   2019      2       228.309         0.265     884
 2019.208   2019      3       228.090         0.284    1015
 2019.292   2019      4       227.898         0.349     936
 2019.375   2019      5       227.598         0.380     744
 2019.458   2019      6       227.367         0.273    1007
 2019.542   2019      7       226.788         0.231    1011
 2019.625   2019      8       226.253         0.269     952
 2019.708   2019      9       226.169         0.278    1007
 2019.792   2019     10       226.087         0.314     859
 2019.875   2019     11       226.328         0.403     763
 2019.958   2019     12       225.934         0.289     993
 2020.042   2020      1       225.661         0.248     873
 2020.125   2020      2       225.523         0.275     911
 2020.208   2020      3       225.221         0.238    1024
 2020.292   2020      4       224.965         0.263     890
 2020.375   2020      5       224.866         0.263     945
 2020.458   2020      6       224.656         0.259     935
 2020.542   2020      7       224.238         0.249     992
 2020.625   2020      8       223.899         0.260     870
 2020.708   2020      9       223.937         0.306     930
 2020.792   2020     10       223.977         0.323     690
 2020.875   2020     11       223.669         0.263     965
 2020.958   2020     12       223.415         0.234    1006
 2021.042   2021      1       223.094         0.194     925
 2021.125   2021      2       222.921         0.175     821
 2021.208   2021      3       222.842         0.253     886
 2021.292   2021      4       222.527         0.206     966
 2021.375   2021      5       222.402         0.194     881
 2021.458   2021      6       222.260         0.213     841
 2021.542   2021      7       221.633         0.205     646
 2021.625   2021      8       221.329         0.251     961
 2021.708   2021      9       221.222         0.254     838
 2021.792   2021     10       221.221         0.210     931
 2021.875   2021     11       221.379         0.210     989
 2021.958   2021     12       221.244         0.205     988
 2022.042   2022      1       220.994         0.185    1010
 2022.125   2022      2       220.860         0.197     875
 2022.208   2022      3       220.613         0.216    1022
 2022.292   2022      4       220.402         0.221     945
 2022.375   2022      5       220.027         0.229     980
 2022.458   2022      6       219.665         0.214     994
 2022.542   2022      7       219.358         0.263    1015
 2022.625   2022      8       218.864         0.240    1024
 2022.708   2022      9       218.769         0.189    1034
 2022.792   2022     10       218.912         0.205     755
 2022.875   2022     11       218.734         0.201    1022
 2022.958   2022     12       218.660         0.181     997
 2023.042   2023      1       218.412         0.181     919
 2023.125   2023      2       218.281         0.173     687
 2023.208   2023      3       217.969         0.231     662
 2023.292   2023      4       217.812         0.156     990
 2023.375   2023      5       217.600         0.236    1050
 2023.458   2023      6       217.181         0.226    1039
 2023.542   2023      7       216.689         0.256    1066
 2023.625   2023      8       216.342         0.238     920
 2023.708   2023      9       216.000         0.307     789
 2023.792   2023     10       216.382         0.300     940
 2023.875   2023     11       216.356         0.254     897
 2023.958   2023     12       216.235         0.239    1037
